query,rank,similarity,tweet_id,conversation_id,customer_message,historical_support_replies
My package says it was delivered but I never received it.,1,0.4745277641530505,262189,amazonhelp_262189,When you're @115821 package says it was delivered but you didn't get it 😡😡😡,@178449 Oh no! Let's try the steps listed here: https://t.co/xCMI7SiuC0. Keep us posted! ^EZ
My package says it was delivered but I never received it.,2,0.465929503392486,312837,amazonhelp_312837,"@116316 #WheresMyStuff my package was ""delivered""; but I haven't received it!! 😨",@190708 Oh! Please let my colleagues check this: https://t.co/cDHy5WiCek Kind regards ^MF
My package says it was delivered but I never received it.,3,0.4021809945786034,58749,amazonhelp_58750,@AmazonHelp It says it was delivered yesterday,"@129372 I hate to hear your package hasn't shown up! Has the delivery date passed? ^MT
@129372 Thanks for confirming, Aaliyah! Let's try locating your package using the steps found here: https://t.co/Q8gjPhXRq5 ^FD
@129372 The carrier is listed on the order page. Find it here: https://t.co/KXO7GjLPvV  ^BA"
My package says it was delivered but I never received it.,4,0.40148230130905627,239491,amazonhelp_239491,"@AmazonHelp yo, where is my package ? it says delivered but i never got my package..","@172904 Sorry for the wait! Let's try these steps here to locate it: https://t.co/8B5k6MasBQ ^DW
@172904 I'm glad you found your package! We're available to assist. Let us know if we can be of further help. ^SJ"
My package says it was delivered but I never received it.,5,0.3512161637842286,301069,amazonhelp_301069,"Ordered a cell phone case from @115821. Tracking info says it was delivered yesterday, but I never received anything. So annoying.","@187802 I'm sorry this has happened, Robyn. Can you tell us who the carrier is? You can check here: https://t.co/PyACxvY8Qo ^AL
@187802 At your convenience, please reach us via phone/chat so we can go over available options w/ you: https://t.co/dNXwBZPiM6 ^BV"
